layer,feature_idx,unc_effect,inc_effect,acc_selection,acc_delta_selection,ent_selection,ent_delta_selection,beneficial
17,29803,0.26216734738898223,0.2009529137978433,0.6281156530408774,-0.014242985329726565,0.8228088416162602,0.00012954429435085846,False
18,10969,4.050828410212579,0.6131503981916795,0.6349522859991454,0.669420310497082,0.6924930197194594,-0.13018627760244994,True
18,2618,2.0436618311229027,0.38649651651466826,0.6298248112804444,0.15667283862698111,0.7526647789792322,-0.07001451834267713,True
18,22061,0.705033654909792,0.2834111100812308,0.6345249964392536,0.6266913545079023,0.7744458099749438,-0.04823348734696553,True
19,16897,1.7948151744872214,0.3935830804085685,0.6291126620139581,0.08545791197834829,0.751171668503235,-0.07150762881867434,True
19,20087,1.426670471138877,0.35714739686252284,0.6292550918672554,0.09970089730807485,0.815965062916611,-0.0067142344052983916,True
19,5267,1.603762647011802,0.33598709107287594,0.6308218202535252,0.25637373593505597,0.7787656903481067,-0.043913606973802644,True
20,28843,3.5279667836399815,0.46978374492975505,0.6319612590799032,0.3703176185728574,0.6981742458182296,-0.12450505150367974,True
20,9495,1.8465098655131553,0.390002495768441,0.6278307933342828,-0.042728955989179696,0.7483139785591522,-0.0743653187627572,False
20,32003,0.28282852673946357,0.2643170922503152,0.6282580828941746,0.0,0.8224080857333858,-0.00027121158852361216,True
21,18562,1.6613433622393519,0.506479371904601,0.6328158381996867,0.4557755305512057,0.7343209941985773,-0.08835830312333204,True
21,29779,3.6218358921435763,0.35817915489202373,0.6303945306936334,0.21364477994587627,0.789874689897721,-0.03280460742418834,True
21,8518,0.8238112353035724,0.34423169544742316,0.6284005127474719,0.014242985329726565,0.8206635846687024,-0.0020157126532069913,True
21,28108,1.320947191147051,0.2884532508550946,0.6296823814271472,0.14242985329725455,0.8049565436548793,-0.017722753667030022,True
21,23211,0.11499895984749879,0.22201184105364616,0.6285429426007692,0.02848597065945313,0.8216576285801139,-0.001021668741795434,True
22,29763,3.5333283393140578,0.6241270783498174,0.6336704173194702,0.541233442529554,0.6396745724517047,-0.1830047248702047,True
22,16994,1.7106331952444238,0.490124398348818,0.6309642501068224,0.27061672126478253,0.7153352378929945,-0.1073440594289149,True
22,8083,0.41362146963247487,0.33224333660724975,0.6285429426007692,0.02848597065945313,0.8213668157541673,-0.0013124815677421076,True
22,7393,0.3197447179837423,0.30326599665664444,0.6286853724540664,0.042728955989179696,0.8220066292746782,-0.0006726680472312063,True
22,5692,0.23752910767630575,0.3080073499162732,0.6282580828941746,0.0,0.8218663065784341,-0.0008129907434752948,True
22,21419,0.17644000567763654,0.18168857454831977,0.6282580828941746,0.0,0.8227398220231877,6.052470127837495e-05,False
22,11186,0.12685899545148316,0.2732453732768134,0.6281156530408774,-0.014242985329726565,0.8226220108227232,-5.7286499186126605e-05,False
23,4837,1.7182403357872191,0.4648526413390003,0.6311066799601196,0.284859706594498,0.6992136079260325,-0.12346568939587688,True
23,10086,2.0858996059736383,0.4436463521486431,0.6328158381996867,0.4557755305512057,0.64678483804621,-0.17589445927569936,True
23,13628,0.7685627019400045,0.2912687502216575,0.6293975217205526,0.11394388263780142,0.8175873936978622,-0.0050919036240472115,True
23,17464,0.5929522524550309,0.22828506698527865,0.6284005127474719,0.014242985329726565,0.8224871872073065,-0.00019211011460285032,True
23,731,2.9355770699696477,0.1579480133454853,0.6296823814271472,0.14242985329725455,0.8093700439769607,-0.013309253344948702,True
24,18192,3.8564558412534033,0.5056664863593779,0.6343825665859564,0.6124483691781757,0.635658469437394,-0.18702082788451535,True
24,29371,1.6735689928949316,0.413020311616983,0.6318188292266059,0.3560746332431308,0.6542398877779688,-0.16843940954394054,True
24,13232,1.26553931387382,0.3828128007278656,0.6114513602050989,-1.6806722689075682,0.8112794952746971,-0.011399802047212249,False
24,1302,0.6947089989550056,0.2946575015987025,0.6278307933342828,-0.042728955989179696,0.8168393043174293,-0.005839993004480015,False
24,27356,0.7772769127613606,0.16167789743046962,0.6288278023073636,0.05697194131889516,0.8206355843554799,-0.0020437129664294673,True
